gene	Oocyte	Zygote	Two-cell	Four-cell	Eight-cell	Morula	Blast
Zfp518a	1.0817670387989	0.947321690859811	0.932735304627642	0.525810037166955	0.0908968969256162	0.197704438580394	0.192645241305481
Trpc1	0.0628139496496412	0.0146207712615089	0.0150159043242075	0	0	0	0
Shisa7	0.000537916718359362	0.0119641417188814	0.0208211731894825	0.0325677768772257	0.151678621582331	0.0274407315102963	0.0130302463411824
Gpr4	0	0	0.082334631075854	0	0.00978691880396725	0.0534347695036169	0.103625202827059
Hmx2	0.0103336311085313	0.021599550157463	0.0300181560603633	0	0	0	0
Mbd3l1	0.000338152677261851	0.000534707861992557	0.00716793850823529	0	0	0	0
Stoml2	0.753875462282133	0.456116320664922	0.238408943744369	0.799894474750565	0.825956644983473	0.628708467777412	0.575483113193163
Olfr794	0.00653117337716785	0.00320944326715323	0.0114665163916988	0.00933813631816591	0.0157375705908503	0.0222626444419023	0.0612908224186172
Gja10	0.00135321206250565	0.0197127962150646	0.00529824616002678	0	0	0	0
1700024G13Rik	0	0	0.00610091553329044	0	0	0	0
Aldob	0	0	0.00153262754534102	0	0	0	0
Dnajb6	1.66125641385914	1.70303202833594	1.64047979880444	2.19662185620362	2.67573791300992	2.60499006488392	1.72412811945124
Syt16	0.172512895458462	0.192470133499414	0.128451514427571	0.00161107551820436	0	0	0
Olfr796	0.000232178124077102	0.000676960634183085	0.00221551655567578	0.00170394069099489	0	0.00116835615728607	0.000653799442827024
Zfp710	0.150179945984051	0.0333273246197657	0.229902688640851	0.352480638057412	0.14081726315807	0.242875088839662	0.573780709054268
Mup14	0.00210355418617159	0.00519157138809874	0.00148648800876061	0	0	0.000270557638318017	0
Ffar2	0.0778488748359569	0.0351956684417851	0.0157834259946597	0	0	0.00530234934143677	0.00469007142025634
Fbxo6	0.00338894706566689	0	0.108008895603406	0.0429909899393319	0.345984169079403	0.572244729301955	0.352175366195203
Nags	0.000322913897012295	0	0.0176782411734914	0.0391367322013302	0	0.00760873470105051	0
Spata45	0	0	0.00313298562001658	0.0264473427373725	0	0	0
Hnrnpr	0.474135651408643	0.348114126806169	1.00056290103756	0.854747038252699	0.376229854468349	0.661129805558591	0.667720623593493
Ap5b1	0	0	0.0167945665506695	0.0388842556505638	0.000265981055496745	0.0209540499428416	0.1043661660072
Gkap1	1.72774993822025	1.61566298891057	0.948281831079096	0.221693803633532	0.0657791453664305	0.30931859978682	0.465617578965305
Casp3	0.077891136249848	0.0558636190380135	0.792478860668337	0.294440207251945	0.410124136350864	0.461901110848459	0.323376424074073
Tnfsf13	0.000850253929798611	0.00488232324491946	0.00529541449283943	0.00081886728055175	0.010793531764049	0.00840230977606005	0
Olfr1392	0.000633314501697985	0.000887382705549286	0.0112998515614983	0.0187735845677032	0.00849483059435581	0.00277909734664889	0.0124765302082514
Cpxm2	0.00965121811580171	0.0555220475677735	0.023170164392818	0	0	0.00709384494407777	0.000122194311308598
Nepro	0.0270913670084581	0.00789879937306538	0.614578062580354	0.393896937287763	0.509430897703015	0.187530003831854	0.176548619838623
Lamc1	0.363967710711547	0.334274444299751	0.0995201368097761	0.0460788228119569	0.0901315006672608	0.174188763658889	1.67964315424555
Zcchc3	0.783458477263286	0.352672139410739	0.351216136575953	0.139538103870126	0.0262265985090482	0.186222309348871	0.124053485470277
Olfr453	0.000169090632035	0	0.00111107633990099	0.000523028039617156	0	0.00300700545666342	0
Smlr1	0	0	0.000123593983192282	0	0	0	0
Serpinc1	0.162237025886178	0.245956411162475	0.190256541288359	0.241035779788721	0.037606800499775	0.0551895628466707	0.0306447663087559
D8Ertd738e	0.333286104900648	0.923701278740692	1.05009800890684	1.25305018955429	1.20564169002637	1.43793892726313	0.82543244373145
2700049A03Rik	1.85381431294916	1.90532998279878	0.676055204955808	0.33662325577772	0.0349756944499828	0.120131557377438	0.110054695367799
Mtmr12	0.0393566253090764	0.0252618679175282	0.115023157345852	0.104496920182844	0.0178821365549105	0.103696108764262	0.126190949838389
Olfr704	0.000402243726881391	0.001737345402312	0.0217054671121878	0.0107580545871658	0.000749965756231999	0.0127697887541507	0.0446193048537322
Pcbd2	0.199177175297375	0.532196724126706	0.105775396791472	0.039652792829778	0.00708312335982988	0.0356448010810561	0.177188638674731
Igbp1	0.181156843819497	0.428811417552902	0.0745346701074022	0.177244173511007	0.503341699455094	0.499907681219145	0.545587925494856
Rasl2-9	0.0256421730675912	0.271724236786306	0.0300594329156792	0.0112568089011208	0	0.0585131333536459	0.00670684727721953
Hist1h4k	0.00176362959459717	0	0.00377021648430654	0	0	0	0.00520507713267229
Clgn	0.0100894666151775	0.0154134771511079	0.0210112250762092	0.0111176020529609	0.00026323453632665	0	0.00963264531540271
Gabbr1	0.000869788327546406	0.00505921704059367	0.170123415587297	0	0	0.0012638275291418	0.0537467850879105
Gm7849	0.000637758212595257	0.00348078851859042	0.0261046034739956	0.0300043771000606	0.0463903928536422	0.00394215606093343	0.0177410750884168
Hist1h2ak	0	0	0	0	0.00463314101345419	0	0.00157445232666223
Hist1h2bn	0	0.00226114401509128	0	0	0	0	0.00138078189516978
Ubr1	0.117965056345027	0.0435691839913654	0.0742494352157595	0.00554942193818323	0.208697606151384	0.115493998371736	0.409412226026692
Rgs16	0	0	0.0228634921052772	0	0	0.00401194872735027	0
Poli	0.183176605710482	0.266728970469871	0.0325182713368512	0	0	0.00228097747538812	0.00324242264339309
Zg16	0.00792269131767294	0.0125849909578552	0.00308528836858258	0	0.00990291260988904	0.0283072497282802	0
Gm20604	0.0889397383360129	0.0454878223123936	0.149083513176222	0.118133859196727	0	0.101402825825085	0.227037694943397
Ldb2	0.180451913151873	0.157465104969509	0.0478244810280606	0	0	0	0
Bcl10	0.0585405167352754	0.0745911056427587	0.262514913399566	0.107691673447778	0.330240879983757	0.261910355515587	0.357784338512872
Palld	0.802960033298587	0.331551005670264	0.407327798514035	0.0986414511595469	0.0403608638366547	0.170881992397142	0.456126906746529
2700094K13Rik	0.10514582329411	0.146898569528507	0.200846029836194	0.289846921801574	0.169752519544458	0.651045585157705	1.27874085291311
Rnaseh2c	0.0185421240817779	0.0515743337435223	0.0684735435131291	0.303806359720387	0.292052849611488	0.583643534479911	0.478329559995043
Lemd3	0.00217160213385731	0.00154101963476232	0.366536867181827	0.413684740233672	0.515242485397166	0.463458982411542	0.304467263223838
Lonrf2	0.0574269128812223	0.039306315558551	0.0987720680391703	0.0697330669253298	0.000818959040785679	0.00780803679433108	0
Acrbp	0.000484331751415074	0.000307720332819158	0.0397135084178286	0.0386528604567703	0.00281017322017974	0.0304696227971447	0.0412525871012012
Hunk	0.00628248004362233	0.0143149537276958	0.0434416277233874	0.0445454941070543	0.0808579924487531	0.0343103512147	0.0685811950838604
Spam1	0.201639291320014	0.287953380559867	0.0557490309984777	0	0	0	0
Scn3b	0	0	0.00541598083602252	0	0	0	0
Ptbp3	0.492259680728576	0.340196937100145	0.640008008954799	0.134388763474179	0.260826309091525	0.352072070617158	1.41798911052093
Sfxn2	0.00536947481908767	0.0109147977478028	0.172838207577137	0.311089437231343	0.0324851935625868	0.0803129827198793	0.212098250235281
Lancl1	0.0449529964679928	0.189906796638951	0.136737617320203	0.024454935594018	0.301980975101481	0.0761307160736537	0.117522973578143
Lrrc4	0.282262384710492	0.0851433160059623	0.286123239466621	0.0646457999751065	0.000409563357129307	0.00650415410502039	0.00768617818756463
Ap1s1	0.0260488802065388	0.0946046846554954	0.531125449693453	0.407024467106923	1.41559011070128	1.07670053564496	1.17574422162162
Tmem130	0	0.00213166986094446	0.0343814038583532	0.239522087376876	0	0	0
Opa3	0.192547648990112	0.111556951361402	0.239579964564865	0.169855733724946	0.74766942650683	0.267696650619908	0.385281952517518
Rab24	0.009415983674448	0.0016468378535601	0.274316515436531	0.443174216206798	0.466341223142874	0.480574668858698	0.431026623031642
Tmem204	0	0	0.0691389034810264	0.00303969165185817	0	0.00242100485050302	0.000427081043268945
Ppia	0.496505716993266	0.865238949449773	1.54042731121195	2.71762650071896	3.02965536952734	3.53315996978489	3.30814641725481
Gsap	0.020387534057663	0.0338007055525472	0.0240526227861848	0	0	0	0.00186875552513481
Cap1	0.0102289384907764	0.00766701108834609	0.0609201860008561	0.102103275899621	0.389441115794025	0.625168551632643	1.00929606861878
Hepacam2	0.00342470454555364	0.00999879121892772	0.000716229477409179	0	0	0	0
Trim52	0.00937585055706216	0.0111448886103826	0.0508231948743421	0.0195736711423942	0.327560565786031	0.0432246629341304	0.0867625456703281
4930430F08Rik	0.000668574260056922	0.00239849022753607	0.0082957674168094	0.0357363665495883	0	0.0230988957040106	0.120470952174442
Tyms	0.0872812157924429	0.215540886412222	0.253711276603445	0.486177387312591	1.16870192944477	1.50154196391765	0.530240740908772
Ppp1r35	0.179663943972112	0.0974721374981238	0.0951272623484749	0.215924102801338	0.00208847715563215	0.041153134736001	0.135684830371897
Gmpr	0.0380053786603835	0.261295090915543	0.0632599413882677	0.00650388718694688	0.0442415905620482	0.0498738275711914	0.00373761325460414
Klhl13	0.504679727527562	0.342329226152482	0.089058997713052	0	0.00808936167135071	0.00306441463839426	0.00187611560859818
Fam161a	0.512163047234649	0.767247237398466	0.159605035768164	0.29131280289223	0.0685669223417934	0.0606820595825586	0.137994697646985
0610009O20Rik	0.0172195785647368	0.0134683421659128	0.0186558510547833	0.000474767964199686	0.117504092968683	0.0499010754998506	0.217388632395097
Hacd4	0.228952050857122	0.261375810265502	0.0241528138813085	0.00325665978364605	0	0.00140909185228864	0.729364639507473
Map4k2	0.0655633069104297	0.0131364197731054	0.0667159828447382	0.096928004096524	0.000109101142092793	0.00689624586498414	0.00108878872556996
Hs3st1	0.0124172159398945	0.00305868749700234	0.0731365384343535	0.00150248304172966	0	0.00845044915117087	0.0654119606514384
Zfhx2	0.0310152825091049	0.0131930477078435	0.081348360343423	0.00279986553354336	0	0.0045030880734031	0.0912253273801064
Epha7	0.0324634596739788	0.0167045499024196	0.00973094408264493	0	0.00638753397988117	0.0129215053312457	0.0128570034149869
Tmem254a	0.0151018889148927	0.0304627162993998	0.0160856244761888	0	0	0.0103302669899546	0.0202145500563532
Mkl2	0.278415040733368	0.312807708840848	0.213467790919758	0.174160744381971	0.00817590245645933	0.0304028922026108	0.0328899262185333
Acss1	0	0	0.0120388767046668	0	0.000531891383883261	0.0129672508267461	0.120029312692335
Mvd	0.00228102448669005	0.0187861112627005	0.0492871295370547	0.0273221239078834	0.0274960978809177	0.116078630606512	0.0938710646099526
Uap1	0.226251519271395	0.118372205183523	0.563307647614847	1.08822256364935	1.17533322127431	1.50125212616549	0.472111945466335
Rbmxl2	0.000338828868053419	0	0.0960319954436778	0.0505182854749571	0.00409630687757955	0	0.210203105794685
Zfp459	0.00398131865549156	0.0260798908991967	0.0176843746124752	0.00223500397281882	0.012763390545445	0.0368388432354357	0.518543306301403
Nr1i2	0.0287147649902222	0.0687196224671158	0.00277982402725136	0	0	0	0
Fkbp11	0.00875846226231492	0.0041146977600361	0.080136665371072	0.183796515856456	0.0295988201658092	0.269584155832009	0.0917499765050162
Emc2	0.298762587553754	0.624439360167081	0.0653553942816594	0.161602648975855	0.315032283776616	0.451814772077653	0.322508333843646
Vgll4	0.405258843788077	0.462985685141313	0.16675645402339	0.0209672052854038	0.0976632184117193	0.382006130585598	0.232923898593355
Pde7a	0.00318473147292366	0.0018804456489327	0.0558230379291718	0.111502206152407	0.0362032837108699	0.0744711363337495	0.181788674465386
Atxn1	0.493943386283218	0.227134448272328	0.402724103397691	0.0496301030322168	0.0174850608971546	0.0379493736679748	0.127938486400472
Lipa	0.000507186145344809	0	0.000358178861786258	0	0	0	0
Gm16519	0	0.000539534493647587	0.00696229415256209	0.00402581427162545	0	0	0
Rbm27	1.97236494414257	1.38869947149518	1.58996630115016	0.998527738035619	0.267130763151103	0.458015798903149	0.658360250485007
Gm8165	0.0169800936481403	0.00729107848223681	0.00127435976332918	0	0	0	0
Gm3106	0.0469183347247614	0.0735746748603892	0.720714986811	1.16312022824342	0.922938293751006	1.09505324371191	0.259209978070226
Hacd3	0.0505596831398035	0.0744332307407905	0.326045271853795	0.208216647651266	0.21116679975292	0.20738763009899	0.19720725790621
Mtch1	0.0124235176297498	0.0152477059118617	0.0734478614015825	0.191281900889345	0.0389944478681874	0.0872602511815605	0.357612170099335
Dnajb1	0.307918586067355	0.636050407871466	0.439817770820152	0.415573672801061	0.541785930454238	0.544501288174252	0.516900359009141
Xrn1	0.615484736599995	0.396182186931271	0.512389106048429	0.244737345754856	0.171651038075174	0.315154594416511	0.588311919504022
Bag3	0.00129103041874189	0	0.29177466267737	0.26365182164858	0.487624526039989	0.367971608345555	0.456846882788176
Tnnt2	0	0	0.000411937137781282	0	0	0.00200811232382695	0.0372737947998834
Ttyh2	0.00522627249253876	0.00300891667300355	0.18413140860588	0.431543311334667	0.250278402323052	0.259100472619934	0.526905140962104
Cdt1	0.358244852125189	0.309383502969985	0.460122321341205	0.817745799345671	1.21480880490416	1.16368042803039	0.742791209981968
Nsmce4a	1.00820465727825	0.570123994810467	1.03820454301928	1.40849892043802	1.05039188957025	1.30687518520209	0.830146989888242
Dnajc24	0.0114990720190436	0.0155579413877883	0.015556510909318	0.0098307493741549	0.331341716827401	0.311821289789033	0.143327809232808
Xpa	0.179333564508623	0.124480839495849	0.191950573107431	0.202489893661467	0.106133613877765	0.096750417829418	0.177478172822776
Hivep1	1.23438819408238	1.30714907069023	0.784929449746738	0.453993782793763	0.303695200552808	0.212987175227704	0.202771078498199
Serpinb3a	0.183695026646926	0.278803363222895	0.038843620056112	0.00134883673763218	0	0	0
Zfp706	2.15217905548309	2.47071512672536	1.9051175897994	1.72972556063318	2.37191964453808	2.80595044584413	1.71553651812767
Ttc39b	0.196509362917721	0.165934598398423	0.116379298440198	0.0331882686951631	0.229740765727985	0.407334721450476	1.16550903146634
H2-Eb1	0.0138287551799518	0.0209677215142668	0.0392400811028784	0.000474767964199686	0	0.00232330652445027	0.179926421242964
Mtif3	0.376971665685752	0.619486995889422	0.163129475180581	0.12120273759313	0.223722149614588	0.21550514171475	0.219377246602527
Zdhhc7	0.269869868062029	0.0639569279820179	0.521761393144049	0.997440954002068	0.630873820751096	0.55751089571861	0.13150657027881
Nf2	0.378994222166254	0.165628299744527	0.723023771044897	0.781986035643369	0.866844191355328	0.449185646701995	0.424549759198843
Nae1	1.37248415989186	2.0022906724253	0.402362803497682	0.205670163654413	0.859934734477036	0.297215957726523	0.283580822121023
Hspa9	0.947895123777317	0.694765170152625	0.980514009876829	0.95728390399966	1.10219452122095	1.4033861226797	1.50211691673004
Afap1	0.134261924683513	0.0998428916293788	0.0771657814441899	0	0	0	0
Cyba	0.00327519783876301	0.000534707861992557	0.0375595366809604	0.00866294364153891	0.0135420981730859	0.325134124714321	0.148533935758548
Shq1	0.0729203644862777	0.0415246502359317	0.0587623760094268	0.0624153740640994	0.12722538402556	0.162760765150097	0.0958093404527709
Tmbim4	0.051647576626317	0.159801313588456	0.0460068068781688	0.0678441711078823	0.264542200239522	0.555181915258281	0.585680620849024
Pccb	0.0837921683514005	0.120037037783858	0.208579772749015	0.456074960387787	0.458529948926956	0.479464601325746	0.30678650802969
Naglu	0.0223805026730587	0.00519442568164045	0.0474286992337759	0	0	0.00162793171151089	0.0248138986251079
AI467606	0.00112974273789631	0	0.00142747131070817	0	0	0.0105838790194226	0.0239363925123232
Sirpa	0.00542900780095623	0.00509639668889709	0.00397678176559595	0	0	0	0.0063918770962737
Bad	0.00478652338640505	0.0111068689120584	0.139184126033291	0.183925317241867	0.395931069677738	0.49596336295905	0.34789952902267
Duxbl3	0.0176510795808436	0.0623345986391268	0.0603842238016964	0.145164894797968	0	0.0005624273116243	0
Odf2l	0.294837781049074	0.251710749501213	0.135768232676542	0.0372975453368259	0.0223195449188799	0.0720766876119028	0.38651010882751
Nolc1	0.814186413208654	0.86030278484036	1.71025382170919	2.44826011210066	2.43208173051485	2.02220996252211	1.06973041770869
Tpsb2	0	0	0.00228739604016286	0	0	0.00320443167728687	0
Olfr328	0.000226067734384756	0.0030758069514822	0.444450480871054	0.102080227927273	0.32325400997726	0.200524316323789	0.0760166772984144
Zc3h12d	0.00274040734754832	0.00293736136751016	0.00408996897415961	0.000105818729786324	0	0	0
Zfp296	0.235147838702586	0.447158583437898	0.793651230543286	1.10960892858584	0.892527759927443	1.29535842045568	0.30128078471908
Olfr679	0	0.000933861113529081	0.000191631638410341	0	0	0	0
Kcnj2	0	0.00182451036906086	0.0129462688720371	0	0	0	0
Ppp2r2c	0.00629255146993773	0.0104932799470002	0.0308678187989033	0.00489134184763362	0.42183045157132	0.200010056666137	0.375056986825804
Prr29	0	0	0.00616456691553149	0	0	0	0
Gns	0.0239171014177116	0.031853218497288	0.0750505190453166	0.0847294158410297	0.062294556615494	0.0705108712870033	0.125504283462492
Slc9a1	0.479519155647991	0.187214883445749	0.557669099503218	0.281826572465385	0.000789495822873007	0.137683240863823	0.348936955576995
P4ha2	0.00348396026399764	0.0032498884240536	0.35415725088246	0.276621124112276	0.119041510477775	0.492940185417599	0.488821538098747
Irak3	0	0.00361228726748887	0.0705258720318456	0.0288452117537208	0.0266030300774878	0.10852064341652	0.0358650369803251
Gm996	0	0	0.016763398325446	0	0.0258765309706512	0.000320905639969354	0
Prex1	0.447508859593464	0.11409220848072	0.112974067905699	0.078114222178009	0.00800387457301674	0.0391108591682061	0.154579505328667
